des,type,p,q,soi,a,e,i,q
470593, scattering,0,0, S,89.152,0.665,14.107,29.86592
470596, classical, m,0, S,45.117,0.19,23.15,36.54477
470599, resonant,23,7, S,66.529,0.42,13.145,38.58682
471136, centaur,0,0, S,25.022,0.44,11.362,14.01232
471137, detached,0,0, S,62.174,0.363,30.606,39.604838
471143, resonant,7,2, S,69.361,0.531,29.46,32.530309
471149, centaur,0,0, S,22.518,0.195,24.386,18.12699
471150, classical, i,0, S,38.947,0.052,39.744,36.921756
471151, resonant,5,2, S,55.309,0.423,10.726,31.913293
471152, scattering,0,0, IH,53.717,0.374,11.7,33.626842
471155, scattering,0,0, S,33.295,0.337,12.418,22.074585
471165, scattering,0,0, I,38.947,0.18,15.719,31.93654
471172, resonant,5,2, S,55.219,0.43,3.126,31.47483
471196, classical, m,0, S,40.715,0.002,13.647,40.63357
471210, detached,0,0, S,50.613,0.278,27.804,36.542586
471237, centaur,0,0, S,25.78,0.565,13.809,11.2143
471272, scattering,0,0, S,58.458,0.74,37.75,15.19908
471288, resonant,7,4, IH,43.658,0.028,13.035,42.435576
471318, classical, m,0, S,41.434,0.133,27.726,35.923278
471325, scattering,0,0,IH,35.576,0.331,110.213,23.800344
471335, centaur,0,0, S,23.819,0.181,6.298,19.507761
471339, centaur,0,0, S,11.643,0.157,8.195,9.815049
471512, centaur,0,0, S,28.86,0.499,14.594,14.45886
471513, centaur,0,0, S,21.486,0.117,5.907,18.972138
471921, classical, m,0, S,45.919,0.08,16.303,42.24548
471931, centaur,0,0, S,19.634,0.209,33.513,15.530494
471954, classical, m,0, S,43.327,0.131,28.086,37.651163
472231, classical, m,0, S,43.543,0.081,2.906,40.016017
472232, classical, m,0, S,42.99,0.058,13.911,40.49658
472235, resonant,5,2, S,55.427,0.409,0.807,32.757357
472262, scattering,0,0, S,46.164,0.282,20.691,33.145752
472265, centaur,0,0, S,15.071,0.314,3.032,10.338706
472271, classical, m,0, S,43.025,0.155,17.371,36.356125
472651, centaur,0,0, S,19.122,0.324,37.752,12.926472
472760, centaur,0,0, S,22.873,0.426,6.816,13.129102
474640, resonant,36,1, I,328.215,0.856,25.548,47.26296
480017, resonant,13,4, I,66.334,0.448,7.291,36.616368
482824, classical, m,0, S,42.382,0.228,18.644,32.718904
483002, classical, m,0, S,47.006,0.083,37.885,43.104502
487581, resonant,2,1, S,47.716,0.066,24.737,44.566744
488644, classical, m,0, SH,42.594,0.037,2.575,41.018022
491767, resonant,3,2, S,39.49,0.077,30.125,36.44927
491768, classical, m,0, S,46.081,0.116,15.669,40.735604
492338, centaur,0,0, S,28.958,0.629,12.686,10.743418
493480, classical, m,0, S,40.203,0.017,17.183,39.519549
494158, centaur,0,0, S,8.098,0.266,6.592,5.943932
495189, resonant,2,1, S,47.694,0.172,19.284,39.490632
495190, detached,0,0, S,55.071,0.309,26.786,38.054061
495297, resonant,7,3, S,53.087,0.317,4.806,36.258421
495603, resonant,5,2, S,55.28,0.25,26.729,41.46
495613, classical, m,0, S,42.117,0.127,36.049,36.768141
496315, detached,0,0, I,150.233,0.727,33.539,41.013609
499514, resonant,5,3, S,42.172,0.131,25.89,36.647468
499522, centaur,0,0, S,21.155,0.381,24.312,13.094945
500828, resonant,7,4, S,43.646,0.076,1.645,40.328904
500829, classical, m,0, I,42.368,0.154,12.113,35.843328
500830, classical, m,0, I,44.12,0.168,8.318,36.70784
500831, classical, m,0, S,41.099,0.035,7.451,39.660535
500832, scattering,0,0, S,86.731,0.609,18.362,33.911821
500833, resonant,3,2, S,39.372,0.104,6.942,35.277312
500834, resonant,3,2, S,39.17,0.179,9.878,32.15857
500835, classical, m,0, S,44.094,0.065,2.761,41.22789
500836, classical, m,0, S,45.686,0.131,2.848,39.701134
500837, classical, m,0, S,44.592,0.106,2.294,39.865248
500838, classical, m,0, S,43.793,0.083,3.196,40.158181
500839, classical, m,0, S,42.86,0.062,5.017,40.20268
500840, classical, m,0, S,43.798,0.045,3.9,41.82709
500856, classical, m,0, S,44.022,0.017,3.678,43.273626
500876, detached,0,0, S,72.276,0.411,50.319,42.570564
500877, resonant,2,1, S,47.787,0.285,8.335,34.167705
500878, resonant,18,11, I,41.725,0.109,18.209,37.176975
500879, resonant,11,4, SH,59.206,0.384,13.73,36.470896
500880, resonant,2,1, S,47.77,0.083,7.651,43.80509
500881, classical, m,0, I,42.356,0.048,7.287,40.322912
500882, resonant,7,3, S,53.049,0.288,7.74,37.770888
500883, resonant,3,2, S,39.371,0.255,19.815,29.331395
500884, resonant,3,2, S,39.416,0.257,20.046,29.286088
500885, resonant,3,2, S,39.293,0.231,7.251,30.216317
500886, classical, m,0, I,40.672,0.012,19.64,40.183936
500887, classical, m,0, S,42.411,0.08,9.958,39.01812
500888, classical, m,0, S,41.278,0.064,12.468,38.636208
501105, classical, m,0, S,41.692,0.071,40.793,38.731868
501214, centaur,0,0, S,25.228,0.164,14.202,21.090608
501546, scattering,0,0, S,42.951,0.273,18.695,31.225377
501581, classical, m,0, S,46.615,0.249,20.73,35.007865
503273, centaur,0,0, S,14.494,0.543,9.479,6.623758
503858, resonant,3,2, S,39.403,0.284,11.942,28.212548
503883, resonant,5,3, S,42.245,0.252,2.673,31.59926
504555, resonant,3,2, S,39.407,0.243,18.798,29.831099
504847, classical, m,0, S,46.007,0.147,6.755,39.243971
505412, classical, m,0, S,39.967,0.033,20.603,38.648089
505446, classical, m,0, S,43.782,0.06,0.793,41.15508
505447, classical, m,0, S,44.151,0.093,3.468,40.044957
505448, classical, m,0, S,46.296,0.166,8.478,38.610864
505476, classical, m,0, S,45.786,0.097,2.025,41.344758
505477, resonant,11,6, I,45.046,0.075,1.841,41.66755
505478, scattering,0,0, I,200.061,0.78,10.652,44.01342
505624, classical, m,0, S,43.465,0.17,23.493,36.07595
505679, resonant,2,1, S,47.603,0.074,11.913,44.080378
506028, jc,0,0, S,8.663,0.233,33.233,6.644521
506121, classical, m,0, S,43.678,0.076,4.183,40.358472
506439, classical, i,0, S,38.738,0.03,3.823,37.57586
506479, scattering,0,0, I,159.518,0.761,15.501,38.124802
508338, scattering,0,0, S,164.792,0.799,23.411,33.123192
508770, classical, m,0, S,46.446,0.127,1.646,40.547358
508788, classical, m,0, S,46.078,0.113,2.692,40.871186
